,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
12506,29,556,1,999,0,1.4,93.918,-42.7,4.96,5228.1,7,1,3,0,2,0,0,3,1,1
34410,52,1180,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,3,0,0,0,0,0,6,2,1
36456,55,130,2,999,0,-2.9,92.963,-40.8,1.262,5076.2,5,1,0,0,0,0,0,4,3,1
30285,46,146,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,7,1,3,0,0,0,0,0,2,1
14441,56,442,2,999,0,1.4,93.918,-42.7,4.961,5228.1,4,1,6,0,0,0,0,3,3,1
36927,47,140,1,999,0,-2.9,92.963,-40.8,1.206,5076.2,0,1,6,0,2,2,0,4,3,1
9412,41,128,2,999,0,1.4,94.465,-41.8,4.967,5228.1,9,0,0,0,2,0,1,4,0,1
24110,18,75,1,999,0,-0.1,93.2,-42.0,4.245,5195.8,8,2,3,0,0,0,1,7,2,1
16667,36,638,2,999,0,1.4,93.918,-42.7,4.963,5228.1,2,1,6,0,0,0,0,3,4,1
236,56,136,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,0,1,6,1,1
5285,51,168,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,1,1,2,2,1,6,0,1
29075,47,92,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,9,1,5,1,0,0,0,0,0,1
9608,28,149,2,999,0,1.4,94.465,-41.8,4.961,5228.1,1,1,0,0,0,0,1,4,1,1
1127,34,122,5,999,0,1.1,93.994,-36.4,4.856,5191.0,7,1,3,0,0,0,1,6,4,1
8936,34,511,1,999,0,1.4,94.465,-41.8,4.866,5228.1,7,1,3,0,0,0,1,4,2,1
31195,57,236,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,2,0,2,0,2,0,0,6,4,1
14496,51,109,2,999,0,1.4,93.918,-42.7,4.961,5228.1,5,1,2,0,2,0,0,3,3,1
9869,37,316,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1,1,1,1,0,0,1,4,4,1
28639,57,836,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,9,1,6,0,2,0,0,0,2,1
11884,27,48,5,999,0,1.4,94.465,-41.8,4.959,5228.1,2,2,6,0,0,0,1,4,0,1
10287,25,35,6,999,0,1.4,94.465,-41.8,4.96,5228.1,9,2,6,0,2,2,1,4,1,1
40924,28,4,1,999,0,-1.1,94.601,-49.5,0.977,4963.6,1,2,2,0,2,0,1,8,1,1
2380,51,20,1,999,0,1.1,93.994,-36.4,4.856,5191.0,9,1,5,1,0,0,1,6,3,1
8734,33,128,1,999,0,1.4,94.465,-41.8,4.864,5228.1,9,0,5,0,0,0,1,4,4,1
14842,34,198,2,999,0,1.4,93.918,-42.7,4.957,5228.1,0,1,6,0,0,0,0,3,4,1
15759,44,369,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,2,1,2,0,0,3,1,1
29042,32,334,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,0,0,0,0,0,0,1
26418,38,309,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,0,1,3,0,1,1,0,7,2,1
37175,57,107,4,999,0,-2.9,92.201,-31.4,0.883,5076.2,4,1,6,0,2,0,0,1,2,1
36027,29,376,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,6,1,6,0,0,0,0,6,3,1
14705,33,624,6,999,0,1.4,93.918,-42.7,4.961,5228.1,1,1,3,1,2,0,0,3,3,1
20105,59,163,1,999,0,1.4,93.444,-36.1,4.965,5228.1,5,1,0,1,2,0,0,1,1,1
25238,36,722,3,999,1,-0.1,93.2,-42.0,4.153,5195.8,0,1,3,0,2,0,0,7,3,0
13911,32,518,3,999,0,1.4,93.918,-42.7,4.963,5228.1,1,1,2,0,0,2,1,3,0,1
7759,46,28,8,999,0,1.1,93.994,-36.4,4.864,5191.0,1,1,0,1,0,2,1,6,0,1
8558,34,105,1,999,0,1.4,94.465,-41.8,4.864,5228.1,9,0,2,0,0,0,1,4,4,1
16587,24,73,4,999,0,1.4,93.918,-42.7,4.963,5228.1,7,2,2,0,2,0,0,3,4,1
3874,35,237,3,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,0,0,2,0,1,6,0,1
18598,40,228,2,999,0,1.4,93.918,-42.7,4.968,5228.1,0,1,3,0,0,0,0,3,2,1
6510,43,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,2,0,3,0,2,0,1,6,4,1
20891,54,169,3,999,0,1.4,93.444,-36.1,4.964,5228.1,1,1,0,1,0,2,0,1,2,1
10603,52,168,2,999,0,1.4,94.465,-41.8,4.961,5228.1,7,1,3,0,2,0,1,4,3,1
9360,38,197,3,999,0,1.4,94.465,-41.8,4.967,5228.1,4,1,6,0,0,0,1,4,0,1
37368,34,267,2,999,0,-2.9,92.201,-31.4,0.883,5076.2,0,0,6,0,0,0,0,1,3,1
34013,39,115,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,9,2,5,0,2,0,0,6,4,1
20150,44,250,2,999,0,1.4,93.444,-36.1,4.965,5228.1,4,1,6,0,2,0,0,1,1,1
31718,39,199,1,999,1,-1.8,92.893,-46.2,1.327,5099.1,7,2,5,1,2,0,0,6,2,0
34592,33,167,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,6,0,2,0,0,6,2,1
89,34,188,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,0,1,6,1,1
26935,36,688,2,999,0,-0.1,93.2,-42.0,4.076,5195.8,9,1,3,0,2,0,0,7,2,1
23053,36,92,1,999,0,1.4,93.444,-36.1,4.965,5228.1,9,1,5,0,2,0,0,1,3,1
10289,44,96,8,999,0,1.4,94.465,-41.8,4.96,5228.1,4,0,6,0,2,0,1,4,1,1
1309,48,211,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,1,1,0,2,0,1,6,2,1
17461,37,35,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,6,1,2,0,0,3,1,1
10488,38,329,13,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,3,0,0,0,1,4,3,1
10196,39,238,2,999,0,1.4,94.465,-41.8,4.958,5228.1,10,2,1,0,0,0,1,4,2,1
4778,33,229,2,999,0,1.1,93.994,-36.4,4.858,5191.0,1,1,1,1,0,0,1,6,4,1
40925,31,54,1,999,1,-1.1,94.601,-49.5,0.982,4963.6,9,2,5,0,2,0,1,8,3,0
2599,60,220,2,999,0,1.1,93.994,-36.4,4.856,5191.0,5,1,3,1,2,0,1,6,3,1
31630,60,107,1,999,1,-1.8,92.893,-46.2,1.327,5099.1,0,2,6,0,2,2,0,6,2,0
3028,47,370,2,999,0,1.1,93.994,-36.4,4.859,5191.0,7,0,3,0,2,0,1,6,4,1
26314,30,85,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,9,1,6,0,0,0,0,7,2,1
23370,51,300,2,999,0,1.4,93.444,-36.1,4.964,5228.1,9,1,5,0,2,0,0,1,4,1
19449,30,1288,3,999,0,1.4,93.444,-36.1,4.968,5228.1,9,2,6,0,2,2,0,1,2,1
7478,50,855,2,999,0,1.1,93.994,-36.4,4.864,5191.0,9,1,5,0,2,0,1,6,0,1
19131,37,223,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,2,5,0,0,0,0,1,3,1
10981,41,1255,1,999,0,1.4,94.465,-41.8,4.962,5228.1,9,2,5,0,2,0,1,4,4,1
38762,23,116,5,9,2,-3.4,92.649,-30.1,0.714,5017.5,9,2,5,0,2,0,0,7,2,0
3761,50,225,1,999,0,1.1,93.994,-36.4,4.859,5191.0,7,0,0,1,1,1,1,6,0,1
22481,29,190,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0,1,6,0,0,0,0,1,0,1
40693,28,5,1,999,0,-1.1,94.199,-37.5,0.878,4963.6,7,2,3,0,2,2,1,9,0,1
7845,35,68,21,999,0,1.4,94.465,-41.8,4.865,5228.1,4,2,6,0,2,0,1,4,1,1
40901,56,363,2,5,3,-1.1,94.601,-49.5,0.972,4963.6,10,0,0,0,0,2,0,8,0,2
15058,49,1171,1,999,0,1.4,93.918,-42.7,4.958,5228.1,9,0,3,0,2,0,0,3,2,1
27724,26,212,1,999,0,-1.8,92.843,-50.0,1.799,5099.1,11,2,2,0,0,0,0,5,3,1
18128,25,197,1,999,0,1.4,93.918,-42.7,4.963,5228.1,7,2,2,0,2,0,0,3,4,1
22931,45,99,2,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,2,0,2,0,0,1,1,1
38979,25,78,2,999,0,-3.0,92.713,-33.0,0.718,5023.5,0,2,6,0,0,0,0,2,0,1
14962,23,1473,6,999,0,1.4,93.918,-42.7,4.957,5228.1,1,2,7,1,0,0,0,3,4,1
20442,51,207,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,5,0,0,2,0,1,3,1
5121,46,290,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,2,0,1,6,0,1
14247,51,464,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,6,0,0,2,1,3,1,1
38269,32,221,1,6,1,-3.4,92.431,-26.9,0.742,5017.5,0,1,5,0,0,2,0,8,3,2
15883,33,366,3,999,0,1.4,93.918,-42.7,4.96,5228.1,0,2,6,0,2,0,0,3,1,1
38914,24,285,2,3,3,-3.4,92.649,-30.1,0.716,5017.5,8,2,7,0,2,0,0,7,4,2
33860,28,294,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,1,2,2,0,2,0,0,6,4,1
25195,50,234,3,999,0,-0.1,93.2,-42.0,4.153,5195.8,1,1,0,0,2,2,1,7,3,1
8438,30,266,10,999,0,1.4,94.465,-41.8,4.864,5228.1,0,1,3,0,2,0,1,4,3,1
23221,55,209,4,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,2,0,2,0,0,1,3,1
595,57,402,4,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,0,2,0,1,6,3,1
2732,52,132,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,1,3,0,1,1,1,6,4,1
3688,53,95,1,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,1,0,2,0,1,6,0,1
8530,36,125,5,999,0,1.4,94.465,-41.8,4.864,5228.1,2,1,1,1,0,0,1,4,4,1
4092,47,571,1,999,0,1.1,93.994,-36.4,4.858,5191.0,1,1,5,1,0,0,1,6,1,1
24989,50,389,1,999,1,-0.1,93.2,-42.0,4.153,5195.8,4,1,0,0,2,0,0,7,3,0
6540,36,236,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,5,1,2,2,1,6,4,1
20063,33,303,1,999,0,1.4,93.444,-36.1,4.965,5228.1,9,1,5,1,2,0,0,1,1,1
30057,37,201,1,999,0,-1.8,93.075,-47.1,1.406,5099.1,9,2,3,0,2,0,1,0,2,1
19467,30,132,1,999,0,1.4,93.444,-36.1,4.968,5228.1,9,2,6,1,0,0,0,1,2,1
21645,56,933,2,999,0,1.4,93.444,-36.1,4.963,5228.1,5,1,0,0,0,0,0,1,3,1
39812,38,346,2,5,3,-1.7,94.055,-39.8,0.707,4991.6,1,1,1,0,0,0,0,4,0,2
4949,39,575,2,999,0,1.1,93.994,-36.4,4.858,5191.0,9,1,5,0,1,1,1,6,4,1
33441,28,406,1,999,0,-1.8,92.893,-46.2,1.291,5099.1,9,0,5,0,2,0,0,6,3,1
33566,41,175,2,999,1,-1.8,92.893,-46.2,1.291,5099.1,9,2,5,0,2,0,0,6,3,0
13395,30,74,1,999,0,1.4,93.918,-42.7,4.962,5228.1,9,2,6,0,0,0,1,3,4,1
19403,46,322,5,999,0,1.4,93.444,-36.1,4.967,5228.1,4,1,3,0,0,0,0,1,4,1
4440,46,245,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,6,1,0,0,1,6,3,1
9817,50,91,4,999,0,1.4,94.465,-41.8,4.959,5228.1,7,0,0,1,2,0,1,4,4,1
14422,32,136,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0,2,6,0,1,1,0,3,3,1
7531,37,570,2,999,0,1.1,93.994,-36.4,4.864,5191.0,0,2,6,0,0,2,1,6,0,1
30542,20,237,5,999,0,-1.8,92.893,-46.2,1.354,5099.1,9,2,6,0,0,0,0,6,1,1
5181,41,911,2,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,0,1,6,0,1
31211,34,123,1,999,1,-1.8,92.893,-46.2,1.334,5099.1,1,1,7,0,2,0,0,6,4,0
18876,35,142,2,999,0,1.4,93.444,-36.1,4.97,5228.1,9,0,6,0,2,2,0,1,1,1
22966,59,168,3,999,0,1.4,93.444,-36.1,4.965,5228.1,4,1,6,0,0,2,0,1,1,1
25729,39,46,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,6,1,2,0,0,0,0,7,4,1
3833,37,680,3,999,0,1.1,93.994,-36.4,4.859,5191.0,7,1,3,0,0,0,1,6,0,1
31497,34,91,3,999,0,-1.8,92.893,-46.2,1.334,5099.1,9,1,5,0,2,0,0,6,4,1
20258,30,720,1,999,0,1.4,93.444,-36.1,4.965,5228.1,9,2,6,0,2,0,0,1,1,1
39035,54,352,1,6,1,-3.0,92.713,-33.0,0.715,5023.5,9,0,5,0,2,0,0,2,1,2
8006,35,612,2,999,0,1.4,94.465,-41.8,4.865,5228.1,11,1,2,0,0,0,1,4,1,1
17919,42,207,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0,0,3,0,2,2,1,3,3,1
5507,42,322,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,1,6,1,1
10466,51,368,12,999,0,1.4,94.465,-41.8,4.96,5228.1,0,1,3,0,0,0,1,4,1,1
37815,57,187,1,999,1,-2.9,92.201,-31.4,0.834,5076.2,5,1,6,0,2,0,0,1,4,0
2777,36,97,1,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,1,1,0,0,1,6,4,1
5992,34,162,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,0,1,6,3,1
31463,33,1489,3,999,0,-1.8,92.893,-46.2,1.334,5099.1,9,1,6,0,0,0,0,6,4,1
40978,44,252,1,999,0,-1.1,94.601,-49.5,1.0,4963.6,0,1,6,0,2,0,0,8,1,1
27090,30,13,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,7,2,6,0,2,0,0,7,0,1
38072,59,458,1,999,0,-3.4,92.379,-29.8,0.77,5017.5,5,1,0,0,2,0,0,9,3,1
1315,37,364,4,999,0,1.1,93.994,-36.4,4.855,5191.0,1,1,2,1,2,0,1,6,2,1
38379,41,104,1,999,0,-3.4,92.431,-26.9,0.739,5017.5,1,1,2,0,0,0,0,8,1,1
31192,46,96,2,999,1,-1.8,92.893,-46.2,1.334,5099.1,7,0,2,0,0,0,0,6,4,0
24122,57,76,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,4,1,6,0,2,0,1,7,1,1
22219,58,194,1,999,0,1.4,93.444,-36.1,4.963,5228.1,5,1,3,1,2,0,0,1,2,1
5856,34,158,4,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,0,1,6,1,1
21412,34,87,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1,6,1,2,0,0,1,3,1
4071,24,314,1,999,0,1.1,93.994,-36.4,4.858,5191.0,7,2,5,0,2,0,1,6,1,1
6679,42,198,3,999,0,1.1,93.994,-36.4,4.857,5191.0,5,1,2,1,2,0,1,6,4,1
15502,26,34,3,999,0,1.4,93.918,-42.7,4.957,5228.1,7,2,3,1,2,0,0,3,0,1
38848,56,124,1,999,0,-3.4,92.649,-30.1,0.714,5017.5,4,1,6,0,2,0,0,7,1,1
1785,47,352,1,999,0,1.1,93.994,-36.4,4.855,5191.0,1,1,0,0,2,0,1,6,0,1
10238,41,192,4,999,0,1.4,94.465,-41.8,4.96,5228.1,7,0,2,0,2,0,1,4,1,1
19920,46,16,5,999,0,1.4,93.444,-36.1,4.966,5228.1,7,1,1,0,2,0,0,1,0,1
24937,30,464,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,6,0,0,0,0,7,3,1
39624,33,165,1,999,0,-1.8,93.876,-40.0,0.682,5008.7,1,1,1,0,0,0,1,6,1,1
27652,47,29,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,9,1,3,1,2,0,0,7,0,1
10763,39,135,6,999,0,1.4,94.465,-41.8,4.961,5228.1,2,1,3,0,0,0,1,4,3,1
40768,26,374,1,999,0,-1.1,94.199,-37.5,0.879,4963.6,9,2,6,0,0,0,0,9,0,1
6141,50,332,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,1,0,0,1,6,3,1
988,37,209,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0,1,6,0,0,0,1,6,4,1
27509,37,230,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,10,2,6,0,2,0,0,7,0,1
24318,41,59,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,10,1,0,0,2,0,0,7,1,1
1399,35,245,1,999,0,1.1,93.994,-36.4,4.855,5191.0,1,1,1,0,0,0,1,6,2,1
2646,27,351,2,999,0,1.1,93.994,-36.4,4.856,5191.0,9,2,3,1,0,2,1,6,3,1
39092,41,500,1,999,0,-3.0,92.713,-33.0,0.707,5023.5,0,1,6,0,2,0,0,2,2,1
21425,33,55,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,6,0,2,0,0,1,3,1
22325,54,415,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,6,0,2,0,0,1,2,1
33918,30,14,6,999,1,-1.8,92.893,-46.2,1.281,5099.1,1,2,2,0,2,0,0,6,4,0
22558,32,47,4,999,0,1.4,93.444,-36.1,4.964,5228.1,0,2,6,0,0,0,0,1,0,1
27268,32,59,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,2,6,0,1,1,0,7,0,1
31664,39,126,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,0,7,0,0,0,0,6,2,1
34300,29,10,10,999,0,-1.8,92.893,-46.2,1.266,5099.1,7,2,3,0,2,2,0,6,2,1
20402,31,213,1,999,0,1.4,93.444,-36.1,4.966,5228.1,3,2,5,1,2,2,0,1,3,1
9238,50,442,2,999,0,1.4,94.465,-41.8,4.967,5228.1,4,1,6,1,0,0,1,4,0,1
26824,38,262,3,999,0,-0.1,93.2,-42.0,4.076,5195.8,4,2,6,0,2,0,0,7,2,1
25737,34,96,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,4,1,6,0,2,0,0,7,4,1
7806,54,113,3,999,0,1.4,94.465,-41.8,4.865,5228.1,7,0,3,0,0,0,1,4,1,1
36678,51,509,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,9,2,6,0,2,0,0,4,0,1
19861,52,109,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,1,0,0,0,0,0,1,0,1
36473,26,508,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,5,2,3,0,1,1,0,4,4,1
4476,27,37,9,999,0,1.1,93.994,-36.4,4.856,5191.0,1,1,1,0,0,0,1,6,3,1
39807,34,161,1,5,1,-1.7,94.055,-39.8,0.704,4991.6,0,1,3,0,2,0,0,4,4,2
7420,25,65,1,999,0,1.1,93.994,-36.4,4.864,5191.0,9,2,5,0,2,0,1,6,0,1
37339,52,408,1,999,0,-2.9,92.201,-31.4,0.883,5076.2,4,1,3,0,0,0,0,1,3,1
19626,44,105,2,999,0,1.4,93.444,-36.1,4.968,5228.1,10,1,5,1,0,0,0,1,2,1
24692,53,93,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,2,0,6,0,0,0,0,7,1,1
36382,29,189,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,10,2,3,0,0,0,0,4,3,1
35492,45,29,6,999,1,-1.8,92.893,-46.2,1.244,5099.1,1,2,3,1,2,0,0,6,1,0
1377,36,389,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,1,3,0,2,0,1,6,2,1
34401,32,125,1,999,1,-1.8,92.893,-46.2,1.266,5099.1,4,1,5,0,0,0,0,6,2,0
3928,40,131,2,999,0,1.1,93.994,-36.4,4.858,5191.0,6,1,3,1,0,0,1,6,1,1
31201,32,159,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,1,1,2,0,2,2,0,6,4,1
29464,41,239,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,1,3,0,0,0,0,0,1,1
4050,28,1022,4,999,0,1.1,93.994,-36.4,4.858,5191.0,7,1,3,0,0,0,1,6,1,1
24716,45,487,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,6,1,6,0,2,0,0,7,1,1
22867,29,728,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,2,6,0,2,0,0,1,1,1
13422,46,60,1,999,0,1.4,93.918,-42.7,4.962,5228.1,9,1,6,0,0,0,1,3,4,1
28939,29,678,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,2,6,0,0,0,0,0,0,1
11264,49,216,2,999,0,1.4,94.465,-41.8,4.961,5228.1,4,1,6,0,0,0,1,4,2,1
5358,51,304,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,1,0,0,1,6,0,1
22301,31,500,1,999,0,1.4,93.444,-36.1,4.963,5228.1,9,2,5,0,0,0,0,1,2,1
31375,29,289,2,999,0,-1.8,92.893,-46.2,1.334,5099.1,9,2,5,0,0,2,0,6,4,1
16986,44,844,5,999,0,1.4,93.918,-42.7,4.962,5228.1,0,1,6,0,2,2,0,3,2,1
38780,34,89,1,3,2,-3.4,92.649,-30.1,0.714,5017.5,0,2,6,0,2,0,0,7,2,2
31245,27,175,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,0,1,3,0,2,0,0,6,4,1
27599,32,1162,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,9,2,6,0,2,2,0,7,0,1
39173,25,117,2,999,0,-1.8,93.369,-34.8,0.654,5008.7,1,2,2,0,0,0,0,5,2,1
36922,30,205,3,999,0,-2.9,92.963,-40.8,1.206,5076.2,8,2,7,0,0,0,0,4,3,1
21649,30,19,12,999,0,1.4,93.444,-36.1,4.963,5228.1,4,1,3,0,2,0,0,1,3,1
36917,39,459,1,999,1,-2.9,92.963,-40.8,1.215,5076.2,0,1,6,0,0,0,0,4,1,0
21457,36,121,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0,1,6,1,2,0,0,1,3,1
22333,55,764,10,999,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,0,2,0,0,1,2,1
35040,30,637,1,999,0,-1.8,92.893,-46.2,1.25,5099.1,4,2,6,0,2,0,0,6,0,1
9029,51,93,3,999,0,1.4,94.465,-41.8,4.866,5228.1,10,1,3,0,0,0,1,4,2,1
7325,35,231,3,999,0,1.1,93.994,-36.4,4.864,5191.0,1,2,6,0,2,2,1,6,0,1
28673,27,528,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,1,2,0,0,2,0,0,0,2,1
12532,37,254,1,999,0,1.4,93.918,-42.7,4.96,5228.1,2,1,1,0,2,0,0,3,1,1
9742,38,100,5,999,0,1.4,94.465,-41.8,4.961,5228.1,3,1,6,0,0,0,1,4,1,1
5290,39,216,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,2,0,1,6,0,1
14403,33,457,3,999,0,1.4,93.918,-42.7,4.962,5228.1,1,1,3,0,2,0,0,3,1,1
39279,30,577,7,999,0,-1.8,93.369,-34.8,0.646,5008.7,6,1,6,0,2,0,1,5,1,1
27932,31,228,2,999,0,-1.8,92.843,-50.0,1.531,5099.1,9,2,6,0,2,0,1,5,0,1
31737,37,166,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,7,1,2,0,2,0,0,6,2,1
38329,25,1580,2,999,0,-3.4,92.431,-26.9,0.739,5017.5,0,2,6,0,1,1,0,8,0,1
29590,31,92,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,4,2,6,0,2,0,0,0,1,0
34881,51,45,1,999,0,-1.8,92.893,-46.2,1.25,5099.1,9,1,2,0,2,0,0,6,0,1
22261,40,156,3,999,0,1.4,93.444,-36.1,4.963,5228.1,9,1,5,0,2,0,0,1,2,1
18955,30,190,1,999,0,1.4,93.444,-36.1,4.97,5228.1,11,1,6,0,2,0,0,1,1,1
9067,36,285,2,999,0,1.4,94.465,-41.8,4.866,5228.1,0,1,3,0,2,0,1,4,2,1
10438,53,54,1,999,0,1.4,94.465,-41.8,4.96,5228.1,9,1,5,1,0,0,1,4,1,1
28973,40,514,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,0,2,0,0,0,0,1
8689,38,126,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,2,6,0,2,0,1,4,4,1
31554,37,204,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,1,1,0,0,2,0,0,6,2,1
16085,56,1017,1,999,0,1.4,93.918,-42.7,4.961,5228.1,1,1,7,1,2,0,0,3,3,1
4217,43,102,1,999,0,1.1,93.994,-36.4,4.856,5191.0,7,1,2,1,0,0,1,6,3,1
35517,52,17,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,0,1,3,0,2,0,0,6,1,1
39409,61,196,1,999,1,-1.8,93.749,-34.6,0.638,5008.7,0,1,3,0,2,0,0,0,3,0
32906,35,629,1,999,0,-1.8,92.893,-46.2,1.299,5099.1,1,1,0,0,2,0,0,6,1,1
12279,39,74,5,999,0,1.4,93.918,-42.7,4.966,5228.1,1,1,2,1,0,2,1,3,2,1
15707,54,856,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,1,0,0,0,0,0,3,1,1
24713,51,189,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,6,1,0,0,0,0,0,7,1,1
34482,36,523,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,1,2,0,2,0,0,6,2,1
15096,50,1183,1,999,0,1.4,93.918,-42.7,4.958,5228.1,1,1,7,1,0,0,0,3,2,1
22141,52,351,3,999,0,1.4,93.444,-36.1,4.963,5228.1,9,1,5,1,0,0,0,1,2,1
20088,50,82,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1,0,0,2,0,0,1,1,1
34656,33,213,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,0,0,6,0,1,1,1,6,2,1
2303,57,500,2,999,0,1.1,93.994,-36.4,4.856,5191.0,1,1,0,1,0,2,1,6,3,1
32844,28,146,3,999,0,-1.8,92.893,-46.2,1.299,5099.1,1,1,1,0,0,0,0,6,1,1
14040,22,143,5,999,0,1.4,93.918,-42.7,4.963,5228.1,1,1,5,0,2,0,0,3,0,1
33841,41,296,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,1,1,0,1,0,0,0,6,4,0
14016,58,666,2,999,0,1.4,93.918,-42.7,4.963,5228.1,0,0,3,0,0,0,0,3,0,1
2955,30,360,1,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,2,0,2,0,1,6,4,1
15358,32,316,1,999,0,1.4,93.918,-42.7,4.957,5228.1,1,2,2,1,0,0,0,3,0,1
557,40,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,0,0,0,0,1,6,3,1
37219,75,714,1,999,0,-2.9,92.201,-31.4,0.881,5076.2,5,1,0,0,0,2,0,1,0,1
2774,54,452,2,999,0,1.1,93.994,-36.4,4.859,5191.0,1,1,2,0,0,0,1,6,4,1
34705,27,162,2,999,1,-1.8,92.893,-46.2,1.266,5099.1,0,1,5,0,2,2,0,6,2,0
16363,39,100,5,999,0,1.4,93.918,-42.7,4.963,5228.1,7,1,7,1,0,0,0,3,4,1
5684,41,204,2,999,0,1.1,93.994,-36.4,4.857,5191.0,11,1,1,1,0,0,1,6,1,1
